time,P,Q,R,Phi,The,Psi,U,V,W,X,Y,Z,RPM1,RPM2,RPM3,RPM4,mc1,mc2,mc3,mc4,Phi_cmd,The_cmd,Psi_cmd,Alt_cmd
0.82,0,0,0,0,0,0,0,0,0.0116143568242587,0,0,2.99053892771245,4119.4462118882,4119.4462118882,4119.4462118882,4119.4462118882,38.9955344932119,38.9955344932119,38.9955344932119,38.9955344932119,0,0,0,3.048
0.84,0,0,0,0,0,0,0,0,0.0126720185822162,0,0,2.9907818264704,4119.21896959767,4119.21896959767,4119.21896959767,4119.21896959767,38.9927839091087,38.9927839091087,38.9927839091087,38.9927839091087,0,0,0,3.048
0.86,0,0,0,0,0,0,0,0,0.013707990092109,0,0,2.99104566130362,4118.99342755339,4118.99342755339,4118.99342755339,4118.99342755339,38.990057722263,38.990057722263,38.990057722263,38.990057722263,0,0,0,3.048
0.88,0,0,0,0,0,0,0,0,0.0147224383763927,0,0,2.9913300000696,4118.7696448001,4118.7696448001,4118.7696448001,4118.7696448001,38.9873558003671,38.9873558003671,38.9873558003671,38.9873558003671,0,0,0,3.048
0.9,0,0,0,0,0,0,0,0,0.0157155352769467,0,0,2.99163441401673,4118.54766402699,4118.54766402699,4118.54766402699,4118.54766402699,38.984677995068,38.984677995068,38.984677995068,38.984677995068,0,0,0,3.048
0.92,0,0,0,0,0,0,0,0,0.0166874560631332,0,0,2.99195847786621,4118.32751511914,4118.32751511914,4118.32751511914,4118.32751511914,38.9820241469341,38.9820241469341,38.9820241469341,38.9820241469341,0,0,0,3.048
0.94,0,0,0,0,0,0,0,0,0.0176383783436673,0,0,2.99230176986941,4118.1092179654,4118.1092179654,4118.1092179654,4118.1092179654,38.9793940893389,38.9793940893389,38.9793940893389,38.9793940893389,0,0,0,3.048
0.96,0,0,0,0,0,0,0,0,0.0185684812186359,0,0,2.99266387184579,4117.89278467771,4117.89278467771,4117.89278467771,4117.89278467771,38.9767876514881,38.9767876514881,38.9767876514881,38.9767876514881,0,0,0,3.048
0.98,0,0,0,0,0,0,0,0,0.0194779446212638,0,0,2.99304436920599,4117.67822134428,4117.67822134428,4117.67822134428,4117.67822134428,38.9742046607697,38.9742046607697,38.9742046607697,38.9742046607697,0,0,0,3.048
1,0,0,0,0,0,0,0,0,0.0203669488095278,0,0,2.99344285096316,4117.46552941386,4117.46552941386,4117.46552941386,4117.46552941386,38.9716449445687,38.9716449445687,38.9716449445687,38.9716449445687,0,0,0,3.048
